run_id,source,profile_family,profile_variant,sample_time_s,t_sec,Q1,Q2,T1,T2,ambient_ref,phase,split,run_ok,notes
run_0001,hardware,q2_dominant,q2_dominant_v01,1.0,41.0,0.0,65.0,19.19,19.029,18.80045,active,unassigned,True,
run_0001,hardware,q2_dominant,q2_dominant_v01,1.0,42.0,0.0,65.0,19.223,18.965,18.80045,active,unassigned,True,
run_0001,hardware,q2_dominant,q2_dominant_v01,1.0,43.0,0.0,65.0,19.255,19.029,18.80045,active,unassigned,True,
run_0001,hardware,q2_dominant,q2_dominant_v01,1.0,44.0,0.0,65.0,19.287,19.029,18.80045,active,unassigned,True,
run_0001,hardware,q2_dominant,q2_dominant_v01,1.0,45.0,0.0,65.0,19.287,18.9,18.80045,active,unassigned,True,
run_0001,hardware,q2_dominant,q2_dominant_v01,1.0,46.0,0.0,65.0,19.287,18.997,18.80045,active,unassigned,True,
run_0001,hardware,q2_dominant,q2_dominant_v01,1.0,47.0,0.0,65.0,19.255,19.029,18.80045,active,unassigned,True,
run_0001,hardware,q2_dominant,q2_dominant_v01,1.0,48.0,0.0,65.0,19.287,19.319,18.80045,active,unassigned,True,
run_0001,hardware,q2_dominant,q2_dominant_v01,1.0,49.0,30.0,65.0,19.19,19.223,18.80045,active,unassigned,True,
run_0001,hardware,q2_dominant,q2_dominant_v01,1.0,50.0,30.0,65.0,19.287,19.255,18.80045,active,unassigned,True,
run_0001,hardware,q2_dominant,q2_dominant_v01,1.0,51.0,30.0,65.0,19.287,19.062,18.80045,active,unassigned,True,
run_0001,hardware,q2_dominant,q2_dominant_v01,1.0,52.0,30.0,65.0,19.287,19.545,18.80045,active,unassigned,True,
run_0001,hardware,q2_dominant,q2_dominant_v01,1.0,53.0,30.0,65.0,19.287,19.513,18.80045,active,unassigned,True,
run_0001,hardware,q2_dominant,q2_dominant_v01,1.0,54.0,30.0,65.0,19.287,19.577,18.80045,active,unassigned,True,
run_0001,hardware,q2_dominant,q2_dominant_v01,1.0,55.0,30.0,65.0,19.287,19.577,18.80045,active,unassigned,True,
run_0001,hardware,q2_dominant,q2_dominant_v01,1.0,56.0,30.0,65.0,19.255,19.642,18.80045,active,unassigned,True,
