run_id,source,profile_family,profile_variant,duration_s,sample_time_s,initial_hold_s,cooldown_s,seed,ambient_ref_start,t1_start,t2_start,t1_end,t2_end,q1_mean,q1_max,q2_mean,q2_max,n_segments_q1,n_segments_q2,coordination_mode,contains_short_segment,profile_signature,run_ok,comment
run_0188,model,staggered_steps,staggered_steps_v01,600,1.0,26,60,42,20.949499999999997,20.6272,20.949499999999997,29.006999999999998,29.006999999999998,35.49166666666667,80.0,40.8,100.0,5,5,staggered,True,"{""coordination_mode"": ""staggered"", ""family"": ""staggered_steps"", ""q1_max_bin"": 16, ""q1_mean_bin"": 7, ""q1_nseg"": 7, ""q2_max_bin"": 20, ""q2_mean_bin"": 8, ""q2_nseg"": 6, ""short"": 1}",True,
run_0189,model,staggered_steps,staggered_steps_v01,600,1.0,29,60,42,20.949499999999997,20.949499999999997,20.949499999999997,25.784,23.5279,24.516666666666666,95.0,16.983333333333334,55.0,4,4,staggered,True,"{""coordination_mode"": ""staggered"", ""family"": ""staggered_steps"", ""q1_max_bin"": 19, ""q1_mean_bin"": 5, ""q1_nseg"": 5, ""q2_max_bin"": 11, ""q2_mean_bin"": 3, ""q2_nseg"": 5, ""short"": 1}",True,
run_0190,model,q1_dominant,q1_dominant_v01,600,1.0,27,60,42,20.949499999999997,20.949499999999997,20.949499999999997,35.775299999999994,24.494799999999998,49.96666666666667,85.0,10.025,35.0,4,4,q1_dominant,True,"{""coordination_mode"": ""q1_dominant"", ""family"": ""q1_dominant"", ""q1_max_bin"": 17, ""q1_mean_bin"": 10, ""q1_nseg"": 6, ""q2_max_bin"": 7, ""q2_mean_bin"": 2, ""q2_nseg"": 6, ""short"": 1}",True,
run_0191,model,staggered_steps,staggered_steps_v01,600,1.0,26,60,42,20.949499999999997,20.949499999999997,20.949499999999997,32.23,31.585399999999996,31.45,70.0,41.09166666666667,80.0,5,5,staggered,True,"{""coordination_mode"": ""staggered"", ""family"": ""staggered_steps"", ""q1_max_bin"": 14, ""q1_mean_bin"": 6, ""q1_nseg"": 7, ""q2_max_bin"": 16, ""q2_mean_bin"": 8, ""q2_nseg"": 7, ""short"": 1}",True,
run_0192,model,coordinated,coordinated_v01,600,1.0,26,60,42,20.788349999999998,20.949499999999997,20.949499999999997,28.362399999999997,28.6847,27.783333333333335,55.0,39.88333333333333,80.0,5,5,opposite_direction,True,"{""coordination_mode"": ""opposite_direction"", ""family"": ""coordinated"", ""q1_max_bin"": 11, ""q1_mean_bin"": 6, ""q1_nseg"": 7, ""q2_max_bin"": 16, ""q2_mean_bin"": 8, ""q2_nseg"": 7, ""short"": 1}",True,
run_0193,model,coordinated,coordinated_v01,600,1.0,30,60,42,20.949499999999997,20.949499999999997,20.949499999999997,27.3955,25.1394,34.35,90.0,22.15,70.0,4,4,opposite_direction,True,"{""coordination_mode"": ""opposite_direction"", ""family"": ""coordinated"", ""q1_max_bin"": 18, ""q1_mean_bin"": 7, ""q1_nseg"": 6, ""q2_max_bin"": 14, ""q2_mean_bin"": 4, ""q2_nseg"": 6, ""short"": 1}",True,
run_0194,model,staggered_steps,staggered_steps_v01,600,1.0,23,60,42,20.949499999999997,20.949499999999997,20.949499999999997,49.311899999999994,39.3206,51.75,95.0,46.733333333333334,90.0,5,5,staggered,True,"{""coordination_mode"": ""staggered"", ""family"": ""staggered_steps"", ""q1_max_bin"": 19, ""q1_mean_bin"": 10, ""q1_nseg"": 7, ""q2_max_bin"": 18, ""q2_mean_bin"": 9, ""q2_nseg"": 7, ""short"": 1}",True,
run_0195,model,staggered_steps,staggered_steps_v01,600,1.0,23,60,42,20.949499999999997,20.949499999999997,20.949499999999997,30.940799999999996,27.3955,28.416666666666668,80.0,24.35,80.0,5,5,staggered,True,"{""coordination_mode"": ""staggered"", ""family"": ""staggered_steps"", ""q1_max_bin"": 16, ""q1_mean_bin"": 6, ""q1_nseg"": 7, ""q2_max_bin"": 16, ""q2_mean_bin"": 5, ""q2_nseg"": 7, ""short"": 1}",True,
run_0196,model,q2_dominant,q2_dominant_v01,600,1.0,24,60,42,20.949499999999997,20.949499999999997,20.949499999999997,39.6429,25.784,32.15833333333333,45.0,20.5,85.0,4,4,q2_dominant,True,"{""coordination_mode"": ""q2_dominant"", ""family"": ""q2_dominant"", ""q1_max_bin"": 9, ""q1_mean_bin"": 6, ""q1_nseg"": 5, ""q2_max_bin"": 17, ""q2_mean_bin"": 4, ""q2_nseg"": 5, ""short"": 1}",True,
run_0197,model,q1_dominant,q1_dominant_v01,600,1.0,27,60,42,20.949499999999997,20.949499999999997,20.949499999999997,22.8833,22.8833,13.8,70.0,12.883333333333333,40.0,4,4,q1_dominant,True,"{""coordination_mode"": ""q1_dominant"", ""family"": ""q1_dominant"", ""q1_max_bin"": 14, ""q1_mean_bin"": 3, ""q1_nseg"": 6, ""q2_max_bin"": 8, ""q2_mean_bin"": 3, ""q2_nseg"": 6, ""short"": 1}",True,
